state,year,n_new_dx,n_idu_dx,idu_pct
Nevada,2013,429,24.023999999999997,5.6
New Hampshire,2013,36,6.012,16.7
New Jersey,2013,1186,148.25,12.5
New Mexico,2013,140,13.02,9.3
New York,2013,3229,209.885,6.5
North Carolina,2013,1262,68.148,5.4
North Dakota,2013,19,0.0,0.0
Ohio,2013,1027,61.62,6.0
Oklahoma,2013,332,33.864,10.2
Oregon,2013,232,16.008000000000003,6.9
Pennsylvania,2013,1282,102.56,8.0
Rhode Island,2013,77,8.008000000000001,10.4
South Carolina,2013,702,42.12,6.0
South Dakota,2013,33,9.009,27.3
Tennessee,2013,765,19.89,2.6
Texas,2013,4318,215.9,5.0
Utah,2013,109,5.013999999999999,4.6
Vermont,2013,13,2.0020000000000002,15.4
Virginia,2013,944,33.04,3.5
Washington,2013,440,25.08,5.7
West Virginia,2013,74,13.024000000000001,17.6
Wisconsin,2013,243,14.094,5.8
Wyoming,2013,16,0.0,0.0
Puerto Rico,2013,634,100.17200000000001,15.8
Alabama,2014,661,25.118,3.8
Alaska,2014,37,0.0,0.0
Arizona,2014,731,62.86599999999999,8.6
Arkansas,2014,305,18.91,6.2
California,2014,5128,271.784,5.3
Colorado,2014,379,17.813,4.7
Connecticut,2014,291,34.047,11.7
Delaware,2014,115,10.004999999999999,8.7
"Washington, D.C.",2014,406,25.172000000000004,6.2
Florida,2014,4315,194.175,4.5
Georgia,2014,2350,82.25,3.5
Hawaii,2014,98,5.978,6.1
Idaho,2014,22,0.0,0.0
Illinois,2014,1528,62.647999999999996,4.1
Indiana,2014,463,16.205,3.5
Iowa,2014,94,6.956,7.4
Kansas,2014,129,10.062,7.8
Kentucky,2014,338,16.9,5.0
Louisiana,2014,1186,73.532,6.2
Maine,2014,65,4.03,6.2
Maryland,2014,1225,63.7,5.2
Massachusetts,2014,642,73.83,11.5
Michigan,2014,776,35.696,4.6
Minnesota,2014,301,12.04,4.0
Mississippi,2014,467,12.142000000000001,2.6
Missouri,2014,463,20.835,4.5
Montana,2014,14,2.9959999999999996,21.4
Nebraska,2014,87,2.958,3.4
Nevada,2014,427,22.204,5.2
New Hampshire,2014,40,3.0,7.5
New Jersey,2014,1224,134.64,11.0
New Mexico,2014,133,15.029000000000002,11.3
New York,2014,3299,230.93,7.0
